"Cluster","RA_ICRS","DE_ICRS","kind","plx","e_plx","CMDclass","Quality","logAge16","logAge50","logAge84","[Fe/H]16","[Fe/H]50","[Fe/H]84","AV16","AV50","AV84","dMod16","dMod50","dMod84","X","Y","Z","Rgc"
"HSC 1476",89.80484399371,23.74012153831,"o",0.232,0.034,0.08,1,7.56,7.71,7.88,0.19,0.41,0.6,2.56,2.68,2.8,12.83,13.11,13.43,-4.16478597644307,-0.439390047851074,0.050393473724681,12.295
"HSC 1477",92.6555519575,25.01125953574,"o",0.418,0.016,0.5,0,9.02,9.08,9.16,-0.3,-0.18,-0.02,1.65,1.73,1.81,11.36,11.52,11.69,-1.99921691233347,-0.216690136123961,0.147221883733369,10.124
"HSC 1479",91.28238447841,23.67181228296,"o",0.323,0.03,0.82,1,8.32,8.53,8.75,-0.06,0.11,0.29,0.94,1.07,1.2,12.03,12.3,12.6,-2.86331635138248,-0.338917951966364,0.105155342992782,10.991
"HSC 148",273.49798316686,-19.5251295435,"o",0.356,0.029,0.08,2,8.01,8.28,8.53,-1.04,-0.66,-0.29,3.01,3.26,3.51,12.22,12.94,13.51,3.79586554209764,0.763768538128983,-0.0299049510995248,4.393
"HSC 1480",91.4110174071,23.50563760958,"o",0.185,0.039,0.66,0,8.3,8.42,8.59,0.12,0.3,0.48,1.24,1.37,1.51,12.76,13.08,13.42,-4.09904187156359,-0.499891639411747,0.134172277582377,12.231
"HSC 1481",77.63160315231,18.48139824249,"o",4.716,0.047,0.5,0,7.1,7.21,7.3,-0.1,0.02,0.13,1.02,1.13,1.21,6.51,6.65,6.79,-0.208260974782938,-0.016018939326885,-0.0038805961126445,8.33
"HSC 1482",90.64973709403,22.84724440712,"o",0.204,0.038,0.13,0,8.69,8.78,8.86,-0.23,-0.04,0.11,2.49,2.58,2.7,12.82,13.03,13.27,-4.00467608222587,-0.504682390675085,0.0663420001685915,12.137
"HSC 1484",94.56031373636,24.77641883385,"o",0.163,0.04,0.99,0,7.61,7.75,7.91,0.45,0.64,0.84,1.44,1.56,1.66,13.2,13.47,13.77,-4.88937975221463,-0.619021488874963,0.422156322888312,13.026
"HSC 1486",89.71674202351,22.16806586281,"o",0.206,0.029,0.08,2,7.95,8.1,8.27,0.11,0.3,0.48,2.43,2.59,2.75,13.71,14.0,14.34,-6.25726519159185,-0.806523586070031,-0.0392441177473346,14.402
"HSC 1487",92.84733266838,23.66412353067,"o",0.218,0.03,0.7,0,8.71,8.8,8.88,-0.05,0.14,0.33,1.67,1.78,1.87,12.59,12.81,13.0,-3.61322266540293,-0.472660671070453,0.201492373339611,11.745
"HSC 1489",85.01473813701,19.29301744895,"o",0.188,0.034,0.69,0,8.72,8.88,9.06,-1.05,-0.85,-0.62,1.48,1.67,1.86,12.78,13.18,13.52,-4.26411474304567,-0.566291824956047,-0.409214030677857,12.399
"HSC 1492",100.40841101969,26.66541217573,"o",0.69,0.029,1.0,0,8.33,8.46,8.57,0.09,0.25,0.43,0.23,0.34,0.45,10.57,10.77,10.98,-1.39069998332302,-0.193198038997653,0.288401549575997,9.515
"HSC 1495",63.07870874483,3.32901597932,"o",4.111,0.038,0.98,0,7.07,7.26,7.44,-0.21,-0.06,0.11,0.79,0.91,1.08,6.61,6.85,7.09,-0.194955223563206,-0.0302960957892934,-0.0849634593181716,8.317
"HSC 1496",86.42381866304,19.06527911258,"o",0.132,0.029,0.85,0,9.1,9.22,9.35,-0.05,0.12,0.31,0.43,0.57,0.71,12.54,12.89,13.22,-3.7292272993422,-0.554349575152585,-0.285876171388824,11.864
"HSC 1500",95.1192366277,22.8290681387,"o",0.727,0.032,1.0,0,8.5,8.58,8.65,0.2,0.33,0.46,0.87,0.95,1.03,10.55,10.72,10.87,-1.37201042913963,-0.221744586678696,0.137670357437964,9.497
"HSC 1502",94.50617730131,22.67374631712,"o",0.528,0.025,0.99,0,7.85,8.05,8.2,0.37,0.56,0.73,1.91,2.0,2.1,11.29,11.52,11.76,-1.98515627425355,-0.31626038463159,0.16040044132943,10.112
"HSC 1503",93.15980822959,21.60639380913,"o",0.343,0.04,0.1,3,7.77,7.93,8.06,0.07,0.24,0.41,4.57,4.72,4.86,12.77,13.04,13.39,-3.99871021317926,-0.661816101869997,0.167378803635137,12.139
"HSC 1504",93.62025660169,21.11706336955,"o",0.499,0.031,0.91,0,7.13,7.27,7.38,0.39,0.61,0.8,1.78,1.9,2.02,11.67,11.91,12.22,-2.37169476831931,-0.419599810829792,0.122332671982014,10.502
"HSC 1507",91.80838139265,19.61618188425,"o",0.945,0.033,1.0,0,8.01,8.11,8.2,-0.09,0.08,0.23,1.35,1.44,1.54,9.9,10.1,10.32,-1.0294604463005,-0.191327081594762,0.0362618600822358,9.153
"HSC 151",288.21157763027,-25.29468333157,"o",2.091,0.025,1.0,0,7.79,7.97,8.17,0.0,0.26,0.47,0.32,0.47,0.6,8.34,8.6,8.85,0.493696151539892,0.106265660868368,-0.101301668937787,7.629
"HSC 1511",92.7523939901,19.65248741708,"o",0.495,0.035,0.07,2,7.26,7.44,7.68,0.1,0.27,0.47,2.29,2.45,2.6,11.64,12.01,12.4,-2.47760304313938,-0.4783464245433,0.0637605679092864,10.61
"HSC 1512",98.46598543318,22.17372687041,"o",1.428,0.025,0.98,0,8.26,8.45,8.63,-0.29,-0.12,0.02,0.12,0.22,0.32,8.97,9.19,9.41,-0.671320653712014,-0.132829499557361,0.118353688859364,8.794
"HSC 1513",103.74336376541,24.30067824186,"o",1.31,0.025,0.98,0,8.91,9.01,9.1,-0.13,0.03,0.19,0.02,0.11,0.19,9.22,9.39,9.57,-0.724840042296066,-0.146030188095937,0.194595941835757,8.848
"HSC 1516",94.95161985708,20.14378664169,"o",1.073,0.021,1.0,0,7.85,7.98,8.11,-0.3,-0.15,0.05,0.75,0.84,0.93,9.72,9.91,10.09,-0.939240019740424,-0.190783551395786,0.0843710377591523,9.063
"HSC 1517",82.26385878792,12.95697509051,"o",0.673,0.021,0.29,0,8.52,8.66,8.79,0.08,0.3,0.53,2.11,2.24,2.38,10.65,10.93,11.15,-1.47267048741907,-0.302703245763545,-0.26594384699492,9.599
"HSC 1518",95.41260829763,19.84552768726,"o",0.291,0.031,0.87,0,8.73,8.82,8.9,-0.25,-0.11,0.04,1.69,1.79,1.88,12.21,12.41,12.62,-2.96458923267777,-0.627396278823144,0.189662117431068,11.104
"HSC 152",272.46697622318,-18.65860214997,"o",0.599,0.03,0.33,0,8.22,8.53,8.8,-2.47,-2.11,-1.75,2.98,3.25,3.56,10.19,10.83,11.57,1.43528360447902,0.296375098606873,0.0470500822588141,6.693
"HSC 1522",90.27883296335,16.65813989287,"o",0.124,0.037,0.99,0,7.31,7.49,7.68,-0.09,0.14,0.44,1.76,1.91,2.04,13.18,13.58,14.03,-5.07175078566864,-1.11449926912252,-0.231436310394197,13.241
"HSC 1523",79.036017783,9.89197498326,"o",3.569,0.057,0.89,0,6.92,7.11,7.31,0.35,0.55,0.69,0.66,0.8,0.95,7.0,7.25,7.52,-0.264577103875018,-0.0589924554130872,-0.0354556658789853,8.387
"HSC 1524",92.96080792163,17.40487561673,"o",0.188,0.041,0.02,2,7.23,7.41,7.6,-0.45,-0.23,0.0,3.9,4.08,4.22,12.86,13.2,13.57,-4.25328168065495,-0.981333112422593,0.0106018771078058,12.414
"HSC 1527",76.01334292284,4.08965732951,"o",2.996,0.036,0.45,0,7.07,7.17,7.27,-0.29,-0.18,-0.08,0.4,0.5,0.59,7.54,7.72,7.87,-0.31284491568897,-0.0903376406485985,-0.0865098125839693,8.435
"HSC 1528",100.06954338619,20.72831847656,"o",1.46,0.032,1.0,0,8.18,8.27,8.37,0.21,0.32,0.45,0.26,0.34,0.42,9.07,9.23,9.36,-0.677773333661463,-0.158557747913441,0.128122715294754,8.801
"HSC 1531",87.27259008612,14.41003128252,"o",3.612,0.039,0.4,0,7.37,7.49,7.58,-0.04,0.05,0.15,0.55,0.64,0.73,7.04,7.19,7.37,-0.265422315905484,-0.0607753100864791,0.0098902831183,8.388
"HSC 1532",95.45003415174,18.02890522977,"o",0.275,0.027,0.99,0,8.49,8.58,8.67,-0.33,-0.17,0.01,1.28,1.35,1.41,12.06,12.26,12.43,-2.7506753013209,-0.663996460914712,0.139212486210514,10.893
"HSC 1534",101.24342033107,20.80873113875,"o",1.3,0.04,0.96,0,7.52,7.62,7.72,-0.18,-0.05,0.07,0.19,0.27,0.34,9.51,9.65,9.8,-0.819038209393289,-0.197910226979592,0.161601186033084,8.943
"HSC 1535",78.54049185391,8.47547815517,"o",1.146,0.035,0.05,0,9.74,9.85,9.96,-0.03,0.11,0.26,0.33,0.44,0.54,9.72,9.99,10.24,-0.925226309199568,-0.22298045645081,-0.249979581350632,9.05
"HSC 1536",105.32066255008,22.39187208569,"o",1.058,0.026,1.0,0,7.89,8.02,8.13,-0.09,0.08,0.26,0.06,0.18,0.28,9.64,9.85,10.07,-0.885863261222188,-0.217287872355392,0.238954159427301,9.01
"HSC 1537",157.53423369074,31.29857736252,"o",10.151,0.05,0.15,0,7.4,7.75,8.0,-0.34,-0.19,-0.09,0.0,0.04,0.2,4.89,5.06,5.23,-0.0504509569094064,-0.0151480135125033,0.129865087135803,8.172
"HSC 1538",93.01348739276,16.22220156894,"o",0.515,0.032,0.88,0,8.45,8.65,8.79,-0.64,-0.26,0.02,2.28,2.46,2.61,10.61,10.98,11.33,-1.52313516494532,-0.38126806851788,0.0160631292203969,9.653
"HSC 1539",90.67417717369,14.59616233693,"o",1.145,0.036,0.49,0,7.13,7.27,7.38,-0.03,0.15,0.31,0.45,0.53,0.62,9.83,10.02,10.22,-0.975579086239998,-0.250118938194442,-0.0234029513501515,9.101
"HSC 1540",96.75702563592,17.76119093,"o",0.184,0.042,0.98,0,7.74,7.9,8.09,-0.1,0.17,0.44,1.37,1.49,1.64,12.98,13.28,13.72,-4.38105493132922,-1.12401246458575,0.274713892154877,12.553
"HSC 1542",90.95249035759,14.48849884863,"o",7.085,0.056,0.3,1,8.38,8.49,8.61,0.14,0.21,0.27,0.55,0.62,0.69,5.68,5.79,5.91,-0.13894239854711,-0.0362132636530917,0.0327897190502219,8.261
"HSC 1544",67.99707343668,0.96279792901,"o",1.709,0.037,0.78,0,8.65,8.75,8.83,0.16,0.29,0.4,0.38,0.46,0.54,8.7,8.83,8.97,-0.489875819295243,-0.125280290080215,-0.249447461754178,8.613
"HSC 1545",95.01975238217,15.86957103369,"o",0.208,0.038,1.0,0,7.34,7.47,7.6,-0.07,0.1,0.32,2.9,2.98,3.08,13.01,13.29,13.54,-4.38873055319242,-1.19916239190176,0.0888588478405939,12.568
"HSC 1548",92.19731250325,13.93784018874,"o",0.175,0.034,0.07,0,8.64,8.78,8.89,0.33,0.49,0.62,2.25,2.38,2.54,13.02,13.28,13.61,-4.35558710347914,-1.22226362773407,-0.173626354153755,12.537
"HSC 1551",92.73507597211,13.76307540389,"o",1.044,0.037,0.94,0,6.71,6.9,7.06,-0.25,-0.05,0.15,0.79,0.93,1.08,9.82,10.1,10.39,-1.00528523507995,-0.289795715710792,-0.0013498013002552,9.132
"HSC 1552",99.14776691249,17.1194095251,"o",0.218,0.033,0.69,1,8.38,8.55,8.71,0.02,0.17,0.34,0.9,1.0,1.12,12.73,12.96,13.18,-3.74423685116734,-1.07442979953719,0.360586116947978,11.915
"HSC 1553",92.42342763251,14.75280170651,"o",4.637,0.048,0.9,0,7.36,7.45,7.53,-0.12,-0.04,0.04,0.48,0.56,0.63,6.52,6.66,6.77,-0.207228419059117,-0.0557931940174708,0.0335862624497961,8.329
"HSC 1555",128.94436507061,25.53852561077,"o",5.568,0.047,0.95,0,8.04,8.17,8.29,0.07,0.17,0.26,0.32,0.39,0.47,6.16,6.33,6.47,-0.145546315645705,-0.0498826372840495,0.143389281531722,8.268
"HSC 1556",103.88341162622,19.18147529468,"o",0.263,0.017,0.98,0,8.66,8.78,8.89,0.21,0.39,0.54,0.46,0.6,0.72,13.05,13.33,13.63,-4.38860548507735,-1.27173548570002,0.816778508598361,12.575
"HSC 1557",93.06872434012,13.6818429914,"o",0.805,0.041,0.99,0,7.72,8.0,8.25,-0.22,0.08,0.36,0.63,0.85,1.06,9.87,10.3,10.78,-1.10119082347923,-0.322176073489074,-0.0005832649270265,9.229
"HSC 1558",93.79170549061,13.84661720921,"o",0.466,0.033,0.99,0,7.9,8.03,8.15,-0.16,-0.01,0.15,0.98,1.07,1.15,11.39,11.59,11.8,-1.99343455332278,-0.590450452728262,-0.0095768340982462,10.133
"HSC 156",269.70386768348,-16.20219500573,"o",0.59,0.033,1.0,0,8.14,8.25,8.34,0.36,0.54,0.67,1.61,1.68,1.76,10.9,11.06,11.24,1.58725522904044,0.352375159770364,0.147158966696739,6.544
"HSC 1560",93.73079571519,13.53149556138,"o",0.258,0.017,0.87,0,8.42,8.55,8.73,0.38,0.56,0.79,1.54,1.74,1.91,12.68,13.03,13.45,-3.86368159002648,-1.16267729994113,-0.0719807339914283,12.042
"HSC 1561",95.68927573244,14.47323499833,"o",1.019,0.016,0.83,0,7.92,8.05,8.16,-0.57,-0.45,-0.28,0.9,0.98,1.05,9.8,9.96,10.12,-0.939692061312739,-0.284046251821503,0.0502904752289139,9.066
"HSC 1564",101.99209369018,17.30763706312,"o",0.76,0.028,1.0,0,7.77,7.91,8.07,-0.44,-0.24,-0.06,0.41,0.51,0.62,10.28,10.51,10.7,-1.19948662038971,-0.368299416980819,0.199971464926796,9.329
"HSC 1565",101.03702556784,16.78496291652,"o",0.439,0.033,0.28,0,8.84,8.94,9.03,-0.35,-0.14,0.06,0.55,0.67,0.78,11.26,11.5,11.7,-1.89577407250538,-0.584312297143917,0.255119382302384,10.035
