ID,ra,ra_sigma,dec,dec_sigma,plx,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,Nmem,n17,class,Age,Age_sigma,[Fe/H],[Fe/H]_sigma,M,M_sigma,Av,Av_sigma
CKCWDM_53658,88.7909,0.0065,29.1225,0.0103,0.1443,0.6915,0.1002,-0.8969,0.1097,180.9093,0.0147,1.8869,0.0005,28,27,1,8.9155,0.0381,-0.57652,0.33885,14.20343,0.05017,1.70398,0.00998
CKCWDM_53902,102.8954,0.0037,5.435,0.0126,0.1892,-0.4194,0.1637,0.0057,0.2415,208.108,0.0156,2.5072,0.0006,20,20,1,8.9183,0.0372,-0.85763,0.47524,13.61469,0.05263,1.48315,0.00984
CKCWDM_53907,106.4635,0.0014,-2.2929,0.0016,0.1982,-0.8997,0.1552,0.6829,0.2391,216.6182,0.0025,2.1581,0.0005,73,73,1,8.909,0.0263,-0.56357,0.3446,13.51216,0.05117,1.57313,0.00996
CKCWDM_53919,105.997,0.002,-1.7974,0.0031,0.1951,-0.7194,0.0953,0.1703,0.1876,215.9638,0.0043,1.9705,0.0008,34,34,1,8.9263,0.0183,-0.85619,0.50254,13.54591,0.05113,1.47502,0.00981
CKCWDM_53972,110.0816,0.0019,-9.9381,0.0045,0.1709,-0.9905,0.166,1.0065,0.1137,225.064,0.006,1.8058,0.0004,43,43,1,8.89,0.0172,0.30133,0.18792,13.83533,0.05142,1.33762,0.00977
CKCWDM_54009,109.5257,0.001,-8.6292,0.0023,0.1906,-1.0887,0.1285,0.689,0.1063,223.6498,0.0028,1.9329,0.0004,22,22,1,8.9193,0.0347,-0.86558,0.48155,13.59985,0.05003,1.399,0.01022
CKCWDM_54034,111.5409,0.0007,-11.8088,0.0031,0.1942,-0.8939,0.1389,1.0793,0.2265,227.3908,0.0035,2.1879,0.0003,29,29,1,8.9207,0.0378,-0.58316,0.34207,13.55603,0.05233,1.63951,0.00988
CKCWDM_54069,113.3458,0.0008,-13.2831,0.0016,0.1951,-1.0801,0.1105,0.9976,0.1986,229.5299,0.002,3.031,0.0004,22,22,1,8.7623,0.0365,0.2212,0.13418,13.54375,0.0507,0.82032,0.01029
CKCWDM_54095,110.2063,0.0008,-9.8015,0.0024,0.1743,-1.1224,0.0434,1.1518,0.1285,225.001,0.0029,1.9783,0.0003,20,20,1,8.8903,0.0264,0.33134,0.18383,13.79353,0.05193,1.37922,0.01015
CKCWDM_54127,116.6756,0.0021,-18.74,0.0034,0.1609,-1.6844,0.1601,1.8234,0.1815,235.8637,0.0048,3.1397,0.0005,32,31,1,8.9138,0.0252,0.07094,0.04294,13.96513,0.05016,1.33073,0.00992
CKCWDM_54158,116.1917,0.001,-19.153,0.0012,0.1574,-1.4133,0.1033,2.0377,0.2153,235.9929,0.0017,2.537,0.0004,24,24,1,8.8924,0.0279,-0.39655,0.24045,14.0152,0.04932,1.43445,0.01017
