"COCD","Name","GLON","GLAT","DistMod","E(B-V)","Dist","logt","rt","e_rt","logM","e_logM","rtA","e_rtA","logMA","e_logMA","_RA.icrs","_DE.icrs"
176,"Ruprecht 44",245.74,0.48,15.262,0.62,4655,7.33,"nan","nan","nan","nan",37.2,9.4,3.931,0.33,119.707,-28.5798
177,"Ruprecht 43",246.06,0.39,11.407,0.27,1300,8.47,"nan","nan","nan","nan",8.4,2.0,2.282,0.305,119.8109,-28.8995
178,"NGC 2506",230.56,9.93,12.943,0.08,3460,9.05,"nan","nan","nan","nan",33.7,8.4,3.841,0.329,119.9981,-10.7691
179,"Ruprecht 47",248.25,-0.19,13.165,0.25,3006,8.07,"nan","nan","nan","nan",20.1,5.6,3.303,0.368,120.5757,-31.066
180,"NGC 2527",246.09,1.85,9.018,0.04,601,8.85,12.9,5.1,2.869,0.517,9.7,1.1,2.504,0.151,121.2385,-28.1516
181,"ESO 430-18",248.57,0.75,9.595,0.0,830,9.05,4.1,1.1,1.367,0.363,6.2,1.2,1.902,0.258,121.7015,-30.8339
182,"Vel OB2",263.28,-7.99,8.162,0.03,411,7.26,16.7,1.7,3.235,0.14,17.6,1.7,3.298,0.132,122.3743,-47.8989
183,"NGC 2547",264.46,-8.6,8.424,0.04,457,7.7,5.4,1.5,1.764,0.359,4.9,0.8,1.628,0.23,122.5303,-49.2122
184,"NGC 2539",233.73,11.11,10.92,0.08,1363,8.75,26.4,5.1,3.739,0.256,20.1,2.2,3.387,0.15,122.6658,-12.8398
185,"Ruprecht 53",245.81,3.56,11.493,0.11,1700,8.59,"nan","nan","nan","nan",12.1,2.6,2.721,0.284,122.6924,-26.9933
186,"NGC 2546",254.83,-2.05,10.22,0.13,919,7.92,23.5,2.8,3.653,0.162,18.7,1.9,3.355,0.137,122.9775,-37.6092
187,"Ruprecht 55",250.69,0.81,15.183,0.56,4892,6.97,43.0,7.6,4.138,0.233,59.8,13.8,4.568,0.302,123.1175,-32.5792
188,"Ruprecht 56",257.29,-3.52,8.436,0.12,410,8.7,3.6,0.4,1.222,0.153,6.2,1.9,1.938,0.41,123.1292,-40.4699
189,"NGC 2548",227.87,15.39,9.523,0.03,769,8.75,19.4,2.4,3.374,0.167,15.1,1.4,3.046,0.126,123.4254,-5.7494
190,"VDBH 23, vdBergh-Hagen 23",254.02,-1.0,8.357,0.05,437,7.14,"nan","nan","nan","nan",5.4,1.0,1.743,0.238,123.516,-36.3549
191,"Haffner 26",249.6,2.34,10.248,0.08,1000,7.47,"nan","nan","nan","nan",4.2,1.7,1.4,0.523,123.9075,-30.8252
192,"NGC 2567",249.79,2.96,11.526,0.13,1677,8.64,"nan","nan","nan","nan",9.4,1.7,2.417,0.235,124.6291,-30.6363
193,"NGC 2571",249.1,3.53,11.068,0.14,1339,7.22,13.7,3.5,2.915,0.334,15.1,2.9,3.042,0.256,124.7274,-29.7463
194,"Collinder 185",255.05,0.56,11.511,0.21,1486,8.18,"nan","nan","nan","nan",7.6,2.0,2.159,0.342,125.8365,-36.3271
195,"VDBH 34, vdBergh-Hagen 34",262.57,-2.97,9.982,0.03,950,8.48,"nan","nan","nan","nan",8.7,2.8,2.365,0.422,127.8074,-44.4959
196,"Pismis 4",262.91,-2.47,8.896,0.01,593,8.11,9.6,0.9,2.501,0.133,9.4,1.6,2.475,0.233,128.654,-44.4727
197,"NGC 2627",251.58,6.65,11.821,0.09,2034,8.71,"nan","nan","nan","nan",7.6,2.1,2.117,0.371,129.3095,-29.9527
198,"Ruprecht 64",259.75,0.53,9.701,0.06,800,8.45,18.2,2.1,3.33,0.156,18.1,2.2,3.32,0.163,129.3287,-40.1447
199,"Pismis 6",264.78,-2.91,12.289,0.38,1668,7.58,"nan","nan","nan","nan",12.4,3.7,2.814,0.389,129.7545,-46.2291
200,"Ruprecht 65",263.07,-1.56,8.712,0.07,500,8.57,"nan","nan","nan","nan",5.5,1.2,1.773,0.279,129.8024,-44.0517
201,"NGC 2632",205.89,32.48,6.39,0.01,187,8.9,18.7,1.4,3.367,0.105,9.4,0.8,2.477,0.116,130.0866,19.6886
202,"IC 2391",270.36,-6.83,6.259,0.01,176,7.88,9.1,2.6,2.453,0.366,6.3,0.9,1.967,0.188,130.1427,-53.0264
203,"Ruprecht 67",262.79,-0.8,12.219,0.43,1504,8.38,"nan","nan","nan","nan",7.7,2.2,2.192,0.371,130.3978,-43.3656
204,"Mamajek 1",292.48,-21.65,5.106,0.0,105,6.9,"nan","nan","nan","nan",1.0,0.3,-0.373,0.368,130.5361,-79.024
205,"IC 2395",266.63,-3.59,9.47,0.07,709,7.08,7.9,3.5,2.246,0.586,9.6,1.7,2.503,0.24,130.6213,-48.107
206,"NGC 2659",264.17,-1.65,12.75,0.51,1713,7.23,"nan","nan","nan","nan",7.2,2.2,2.112,0.406,130.6467,-44.9763
207,"Bochum 7",265.19,-1.96,16.466,0.86,5754,7.08,"nan","nan","nan","nan",74.8,23.9,4.929,0.417,131.1986,-45.9691
208,"NGC 2670",267.48,-3.63,11.707,0.43,1188,8.1,"nan","nan","nan","nan",4.9,1.5,1.636,0.385,131.364,-48.7989
