"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"CWWDL 8368","cwwdl8368",19.0,3.2,3.26292,62.47695,118.52273,-0.06116,0.3127,-2.0882,-0.9468,"nan",0.0,"nan","nan","nan","nan","nan","nan",141.0,"nan",-0.88,"nan","nan","nan","nan","nan","nan","BB",0.84,0.03,"n"
"CWWDL 8387","cwwdl8387",22.0,5.1,14.3907,63.02513,123.62688,0.1606,0.3497,-2.225,-0.7113,"nan",0.0,"nan","nan","nan","nan","nan","nan",44.0,"nan",0.37,"nan","nan","nan","nan","nan","nan","AC",0.0,0.17,"y"
"CWWDL 839","cwwdl839",10.0,4.6,166.34233,-61.56721,290.65893,-1.24414,0.1894,-6.0082,1.9717,-20.88535,2.0,"nan","nan","nan","nan","nan","nan",76.0,"nan",0.42,"nan","nan","nan","nan","nan","nan","CB",0.0,0.08,"y"
"CWWDL 84","cwwdl84",54.0,3.2,97.67594,-1.41319,211.82372,-5.25491,0.4264,0.024,1.401,67.52355,14.0,"nan","nan","nan","nan","nan","nan",200.0,"nan",-0.58,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWWDL 8403","cwwdl8403",17.0,14.1,29.47085,61.09799,130.87646,-0.73399,0.3624,-1.0684,-0.4694,"nan",0.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AC",0.0,0.13,"y"
"CWWDL 8405","cwwdl8405",10.0,13.0,26.32398,61.7752,129.26784,-0.44117,0.3672,-1.1433,-0.3599,"nan",0.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.35,"nan","nan","nan","nan","nan","nan","DA",0.4,0.06,"n"
"CWWDL 8417","cwwdl8417",20.0,11.5,28.64282,61.78114,130.36384,-0.16558,0.3452,-1.117,-0.389,"nan",0.0,"nan","nan","nan","nan","nan","nan",186.0,"nan",-0.88,"nan","nan","nan","nan","nan","nan","AC",0.2,0.11,"y"
"CWWDL 8420","cwwdl8420",35.0,8.9,25.17403,61.72028,128.71639,-0.5937,0.3194,-1.3199,-0.3495,"nan",0.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.3,"nan","nan","nan","nan","nan","nan","CB",0.17,0.14,"y"
"CWWDL 8449","cwwdl8449",19.0,9.4,29.7633,62.03378,130.79665,0.19947,0.3358,-1.0139,-0.2202,"nan",0.0,"nan","nan","nan","nan","nan","nan",6.0,"nan",0.42,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWDL 8467","cwwdl8467",19.0,7.6,24.7026,61.07563,128.61773,-1.26816,0.332,-1.2916,-0.5143,"nan",0.0,"nan","nan","nan","nan","nan","nan",2.0,"nan",-0.88,"nan","nan","nan","nan","nan","nan","AB",0.12,0.15,"y"
"CWWDL 848","cwwdl848",11.0,8.3,167.20163,-61.80744,291.13707,-1.32585,0.2219,-5.8004,1.8721,32.21295,2.0,"nan","nan","nan","nan","nan","nan",31.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 8488","cwwdl8488",20.0,8.5,17.49408,62.78675,125.04902,-0.01333,0.3491,-2.0623,-0.3323,-82.2318,1.0,"nan","nan","nan","nan","nan","nan",44.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","BB",0.56,0.05,"n"
"CWWDL 849","cwwdl849",13.0,13.3,165.58648,-62.32814,290.58957,-2.09108,0.2631,-6.4639,2.2524,-9.824,3.0,"nan","nan","nan","nan","nan","nan",50.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 8491","cwwdl8491",52.0,7.0,43.11725,59.55808,137.70046,0.22103,0.4214,-0.3994,-0.7093,"nan",0.0,"nan","nan","nan","nan","nan","nan",20.0,"nan",0.27,"nan","nan","nan","nan","nan","nan","AB",0.98,0.01,"n"
"CWWDL 8493","cwwdl8493",19.0,8.2,42.22664,59.12354,137.5323,-0.38571,0.3897,-0.1719,-0.7498,-36.1482,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.3,"nan","nan","nan","nan","nan","nan","CC",0.0,0.07,"y"
"CWWDL 8509","cwwdl8509",18.0,11.6,37.29216,59.48152,134.99311,-1.11348,0.3677,-0.0265,-0.5908,"nan",0.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","CB",0.16,0.07,"y"
"CWWDL 851","cwwdl851",12.0,8.0,164.80756,-62.34194,290.31845,-2.21776,0.2162,-6.256,2.156,-0.1005,2.0,"nan","nan","nan","nan","nan","nan",186.0,"nan",-0.4,"nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWWDL 8537","cwwdl8537",49.0,6.6,76.2104,39.85867,166.25568,-0.80961,0.244,0.4928,-1.6331,-15.39115,6.0,"nan","nan","nan","nan","nan","nan",123.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","DC",0.1,0.14,"y"
"CWWDL 8547","cwwdl8547",16.0,8.6,73.46357,43.98443,161.75497,0.0928,0.271,0.3994,-1.4994,45.5315,1.0,"nan","nan","nan","nan","nan","nan",62.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 8551","cwwdl8551",15.0,7.9,72.97244,43.27809,162.06013,-0.61635,0.2626,0.3095,-1.5034,-5.2731,1.0,"nan","nan","nan","nan","nan","nan",107.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 8586","cwwdl8586",14.0,7.9,73.79499,43.28507,162.44437,-0.14117,0.2825,0.4404,-1.378,1.7565,2.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWDL 8594","cwwdl8594",18.0,8.9,88.03533,29.76017,179.96549,1.63608,0.2405,0.0997,-1.5982,59.2834,1.0,"nan","nan","nan","nan","nan","nan",214.0,"nan",-0.88,"nan","nan","nan","nan","nan","nan","DC",0.28,0.02,"n"
"CWWDL 8616","cwwdl8616",36.0,3.2,91.99602,21.9195,188.59442,0.83426,0.5167,0.9576,-3.5704,15.65575,2.0,"nan","nan","nan","nan","nan","nan",58.0,"nan",-0.1,"nan","nan","nan","nan","nan","nan","BC",1.0,0.0,"n"
"CWWDL 864","cwwdl864",51.0,8.8,174.27965,-63.27127,294.69589,-1.61688,0.3912,-6.1477,0.9015,4.54835,4.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.35,"nan","nan","nan","nan","nan","nan","AB",0.24,0.23,"y"
"CWWDL 8688","cwwdl8688",17.0,7.4,107.02883,-6.20184,220.32125,0.89624,0.2132,-1.1253,0.711,56.433,1.0,"nan","nan","nan","nan","nan","nan",162.0,"nan",-0.88,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 87","cwwdl87",65.0,3.0,104.23647,-15.61822,227.49942,-5.86101,0.3782,-1.5689,3.4247,65.88275,2.0,"nan","nan","nan","nan","nan","nan",76.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","CB",0.95,0.02,"n"
"CWWDL 8709","cwwdl8709",58.0,3.6,110.31968,-11.78339,226.80864,1.14886,0.3381,-0.5339,0.1254,59.712,1.0,"nan","nan","nan","nan","nan","nan",71.0,"nan",0.16,"nan","nan","nan","nan","nan","nan","BB",1.0,0.0,"n"
"CWWDL 8710","cwwdl8710",37.0,1.4,111.22701,-14.86615,229.93852,0.46577,0.3589,-1.6049,1.4062,45.5967,1.0,"nan","nan","nan","nan","nan","nan",29.0,"nan",0.37,"nan","nan","nan","nan","nan","nan","CB",0.81,0.07,"n"
"CWWDL 8713","cwwdl8713",11.0,15.8,111.61962,-13.30635,228.81568,1.52351,0.2839,-1.5391,1.4397,80.2587,1.0,"nan","nan","nan","nan","nan","nan",76.0,"nan",-0.18,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 873","cwwdl873",18.0,10.6,177.88513,-63.2818,296.255,-1.20119,0.2654,-5.6686,0.7334,"nan",0.0,"nan","nan","nan","nan","nan","nan",62.0,"nan",-0.4,"nan","nan","nan","nan","nan","nan","CB",0.04,0.08,"y"
"CWWDL 8731","cwwdl8731",16.0,9.6,113.88839,-20.30989,235.95389,0.09266,0.3061,-1.8626,2.4633,62.1579,2.0,"nan","nan","nan","nan","nan","nan",44.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 8747","cwwdl8747",17.0,9.4,117.37779,-25.10344,241.69043,0.49264,0.2092,-2.2342,3.0265,79.1292,1.0,"nan","nan","nan","nan","nan","nan",107.0,"nan",-0.88,"nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWWDL 8761","cwwdl8761",15.0,6.6,116.23869,-22.68468,239.07204,0.82584,0.2305,-2.0647,2.5318,70.7055,1.0,"nan","nan","nan","nan","nan","nan",54.0,"nan",0.42,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWDL 8762","cwwdl8762",10.0,15.0,115.57558,-22.05685,238.25808,0.52387,0.2151,-1.8004,2.1432,"nan",0.0,"nan","nan","nan","nan","nan","nan",115.0,"nan",-0.88,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 8764","cwwdl8764",16.0,8.2,118.15922,-25.06731,242.03055,1.13103,0.2205,-2.2613,2.8495,"nan",0.0,"nan","nan","nan","nan","nan","nan",29.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","CC",0.04,0.05,"y"
"CWWDL 8784","cwwdl8784",55.0,4.2,117.20734,-23.57578,240.2951,1.1246,0.3996,-3.1172,3.0743,"nan",0.0,"nan","nan","nan","nan","nan","nan",54.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AB",0.82,0.08,"n"
"CWWDL 8822","cwwdl8822",18.0,6.6,120.79026,-29.45282,246.98053,0.80275,0.2196,-2.4032,3.0138,70.478,3.0,"nan","nan","nan","nan","nan","nan",47.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWWDL 8825","cwwdl8825",21.0,8.2,121.17932,-29.52744,247.23649,1.07407,0.2498,-2.7661,2.7753,73.3509,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 8831","cwwdl8831",15.0,9.0,120.30106,-27.76569,245.3181,1.31341,0.2462,-2.1867,2.5999,76.8256,1.0,"nan","nan","nan","nan","nan","nan",14.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWDL 8833","cwwdl8833",59.0,4.2,118.49008,-26.75896,243.62435,0.49633,0.242,-2.3826,3.3231,"nan",0.0,"nan","nan","nan","nan","nan","nan",47.0,"nan",-0.58,"nan","nan","nan","nan","nan","nan","AB",0.41,0.21,"n"
"CWWDL 8911","cwwdl8911",22.0,5.0,121.74112,-31.39125,249.06479,0.46684,0.2096,-2.4911,3.0619,"nan",0.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.35,"nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"CWWDL 8942","cwwdl8942",36.0,2.4,123.89373,-33.90386,252.14596,0.61379,0.4937,-2.9082,2.9048,31.7675,1.0,"nan","nan","nan","nan","nan","nan",76.0,"nan",-0.1,"nan","nan","nan","nan","nan","nan","BB",1.0,0.0,"n"
"CWWDL 8989","cwwdl8989",45.0,7.6,126.54972,-36.41426,255.4531,0.96561,0.2614,-3.0991,3.1363,76.8493,1.0,"nan","nan","nan","nan","nan","nan",58.0,"nan",0.07,"nan","nan","nan","nan","nan","nan","AC",0.0,0.24,"y"
"CWWDL 9028","cwwdl9028",20.0,8.7,136.17244,-45.36701,266.98315,1.08679,0.4261,-5.519,4.7258,40.1062,1.0,"nan","nan","nan","nan","nan","nan",41.0,"nan",-0.88,"nan","nan","nan","nan","nan","nan","CC",0.0,0.07,"y"
"CWWDL 909","cwwdl909",103.0,2.8,219.66728,-62.15479,315.10184,-1.84434,0.3203,-3.4664,-1.7507,-46.95175,6.0,"nan","nan","nan","nan","nan","nan",123.0,"nan",-0.4,"nan","nan","nan","nan","nan","nan","AA",0.95,0.03,"n"
"CWWDL 913","cwwdl913",63.0,2.8,222.55261,-61.76039,316.49195,-2.0612,0.2968,-3.4405,-1.9095,-34.0342,11.0,"nan","nan","nan","nan","nan","nan",66.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 919","cwwdl919",41.0,3.7,227.59057,-60.52117,319.23768,-2.13164,0.49,-3.4496,-3.5216,-28.11285,2.0,"nan","nan","nan","nan","nan","nan",54.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AB",0.95,0.02,"n"
"CWWDL 9197","cwwdl9197",19.0,5.4,165.65667,-59.76999,289.63003,0.2709,0.3749,-6.1734,1.4925,5.2045,2.0,"nan","nan","nan","nan","nan","nan",2.0,"nan",0.37,"nan","nan","nan","nan","nan","nan","BB",0.36,0.09,"n"
"CWWDL 92","cwwdl92",25.0,3.6,113.25987,-29.47536,243.68274,-4.84212,0.2184,-1.9554,2.9274,60.6036,1.0,"nan","nan","nan","nan","nan","nan",87.0,"nan",0.35,"nan","nan","nan","nan","nan","nan","DC",0.0,0.12,"y"
"CWWDL 9203","cwwdl9203",7.0,13.8,166.85981,-59.17961,289.91227,1.04993,0.3143,-5.8671,2.0308,"nan",0.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.42,"nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWWDL 928","cwwdl928",70.0,1.1,244.70444,-52.88216,331.27724,-1.82474,0.256,-2.6026,-3.9695,-23.7803,16.0,"nan","nan","nan","nan","nan","nan",81.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"CWWDL 929","cwwdl929",67.0,1.0,244.70349,-52.88411,331.27715,-1.82481,0.2383,-2.6144,-3.9702,-24.6402,17.0,"nan","nan","nan","nan","nan","nan",229.0,"nan",-0.04,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 9305","cwwdl9305",7.0,14.0,170.73505,-60.31886,292.16798,0.70005,0.255,-6.1462,1.6557,-4.8234,1.0,"nan","nan","nan","nan","nan","nan",200.0,"nan",-0.58,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 932","cwwdl932",65.0,3.1,250.67884,-47.98837,337.44376,-1.23891,0.3319,-0.6445,-1.0816,-46.36575,4.0,"nan","nan","nan","nan","nan","nan",76.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AA",0.97,0.02,"n"
"CWWDL 933","cwwdl933",11.0,10.2,250.6385,-47.85544,337.50414,-1.16743,0.4444,-2.9455,-4.3375,-20.1909,1.0,"nan","nan","nan","nan","nan","nan",71.0,"nan",0.27,"nan","nan","nan","nan","nan","nan","CB",0.0,0.08,"y"
"CWWDL 939","cwwdl939",147.0,5.2,255.20486,-44.17365,342.38656,-1.22221,0.3461,-0.7036,-1.7965,-36.4364,12.0,"nan","nan","nan","nan","nan","nan",71.0,"nan",0.27,"nan","nan","nan","nan","nan","nan","AA",0.86,0.08,"n"
"CWWDL 9421","cwwdl9421",18.0,7.4,178.76304,-61.65018,296.29197,0.49665,0.319,-6.1976,0.8386,"nan",0.0,"nan","nan","nan","nan","nan","nan",38.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","BB",0.24,0.09,"y"
"CWWDL 944","cwwdl944",89.0,5.5,257.87647,-41.35542,345.82483,-1.1058,0.4182,-0.752,-2.7201,-20.0988,10.0,"nan","nan","nan","nan","nan","nan",66.0,"nan",0.12,"nan","nan","nan","nan","nan","nan","AA",0.88,0.07,"n"
"CWWDL 9456","cwwdl9456",20.0,6.0,182.01744,-61.91716,297.84652,0.53104,0.2912,-5.461,0.1561,-11.1124,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","DB",0.4,0.04,"n"
"CWWDL 952","cwwdl952",59.0,2.1,264.86483,-35.08286,354.08556,-2.12028,0.3205,0.2585,-3.6981,-44.0812,7.0,"nan","nan","nan","nan","nan","nan",282.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 9603","cwwdl9603",22.0,5.6,203.62243,-62.12087,307.93672,0.33404,0.2837,-6.2673,-1.7814,-38.15975,2.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.27,"nan","nan","nan","nan","nan","nan","DB",0.0,0.08,"y"
"CWWDL 962","cwwdl962",100.0,2.8,269.88252,-26.65824,3.52458,-1.4887,0.4024,2.1093,0.3994,-10.2289,7.0,"nan","nan","nan","nan","nan","nan",162.0,"nan",-0.58,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 9622","cwwdl9622",37.0,2.3,224.4886,-58.05706,319.0405,0.79981,0.4194,-4.8652,-2.939,-49.6954,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","CA",0.97,0.01,"n"
"CWWDL 9645","cwwdl9645",26.0,2.3,243.01748,-50.21692,332.36251,0.81944,0.4154,-2.6852,-2.895,"nan",0.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.3,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 969","cwwdl969",67.0,2.2,274.59649,-19.36162,12.00951,-1.74485,0.4907,-0.6919,-0.0508,-22.4175,10.0,"nan","nan","nan","nan","nan","nan",186.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 970","cwwdl970",52.0,2.9,276.46664,-17.07164,14.86866,-2.24934,0.4967,-0.2434,-1.5625,-27.469,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.35,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 9706","cwwdl9706",52.0,2.1,270.23802,-20.22104,9.27752,1.42579,0.3696,0.1994,-0.1216,15.4912,3.0,"nan","nan","nan","nan","nan","nan",33.0,"nan",-0.04,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 9741","cwwdl9741",59.0,4.1,276.73759,-10.97571,20.38899,0.37081,0.7311,-1.4354,-4.9441,3.1162,9.0,"nan","nan","nan","nan","nan","nan",151.0,"nan",-0.1,"nan","nan","nan","nan","nan","nan","AA",0.97,0.02,"n"
"CWWDL 980","cwwdl980",112.0,4.5,281.84296,-5.23332,27.80791,-1.48929,0.4786,0.3937,-2.174,13.00255,12.0,"nan","nan","nan","nan","nan","nan",115.0,"nan",-0.58,"nan","nan","nan","nan","nan","nan","AA",0.94,0.03,"n"
"CWWDL 9918","cwwdl9918",78.0,3.8,289.99651,15.15439,49.63859,0.70529,0.6302,-1.6915,-5.2812,-4.2643,3.0,"nan","nan","nan","nan","nan","nan",17.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AB",0.88,0.05,"n"
"CWWL 1144","cwwl1144",16.0,9.1,115.64191,-26.1083,241.74994,-1.37865,0.2283,-2.1261,3.3524,60.4645,1.0,"nan","nan","nan","nan","nan","nan",700.0,"nan",0.68,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWL 1161","cwwl1161",11.0,13.8,123.82045,-37.47643,255.08644,-1.40209,0.247,-2.6773,3.193,95.3144,1.0,"nan","nan","nan","nan","nan","nan",600.0,"nan",-5.024,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWL 1275","cwwl1275",12.0,7.0,177.79232,-63.83309,296.34074,-1.723,0.2397,-6.7284,0.8654,"nan",0.0,"nan","nan","nan","nan","nan","nan",400.0,"nan",0.274,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWL 1382","cwwl1382",19.0,7.8,11.98586,61.14491,122.51249,-1.72585,0.2265,-1.6366,-0.5893,-75.0118,3.0,"nan","nan","nan","nan","nan","nan",1200.0,"nan",-5.024,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWL 1384","cwwl1384",15.0,6.7,11.90591,61.14008,122.47013,-1.72959,0.2224,-1.8516,-0.5025,-83.1325,1.0,"nan","nan","nan","nan","nan","nan",900.0,"nan",-0.419,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWL 1428","cwwl1428",13.0,11.1,110.23087,-14.36785,229.05371,-0.11302,0.2818,-1.1135,1.4434,"nan",0.0,"nan","nan","nan","nan","nan","nan",500.0,"nan",0.68,"nan","nan","nan","nan","nan","nan","CC",0.0,0.05,"y"
"CWWL 1438","cwwl1438",17.0,7.6,116.89838,-24.75724,241.17437,0.26641,0.2275,-1.5734,1.8594,62.2398,1.0,"nan","nan","nan","nan","nan","nan",900.0,"nan",-1.335,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWL 1460","cwwl1460",19.0,6.4,118.53257,-28.80298,245.39843,-0.51808,0.2325,-2.0226,2.8193,71.33015,4.0,"nan","nan","nan","nan","nan","nan",600.0,"nan",0.68,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWL 1481","cwwl1481",13.0,6.1,122.2512,-33.82045,251.31752,-0.47344,0.2201,-2.3531,3.0963,109.5141,1.0,"nan","nan","nan","nan","nan","nan",800.0,"nan",-0.419,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWL 1500","cwwl1500",13.0,13.9,122.67568,-35.45427,252.96815,-1.05795,0.2325,-2.3225,2.8837,"nan",0.0,"nan","nan","nan","nan","nan","nan",800.0,"nan",0.274,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWL 1746","cwwl1746",37.0,1.6,225.49416,-60.02826,318.5617,-1.17664,0.3094,-3.8639,-2.7988,-31.9134,1.0,2.3,0.7354,3.54,0.1838,1.58,"nan",40.0,70.0,0.391,0.6661,594.0,"nan","nan","nan","nan","AA",0.0,0.57,"n"
"CWWL 1991","cwwl1991",17.0,8.9,90.65446,27.2845,183.35938,2.42847,0.2469,0.3796,-1.2908,27.25705,2.0,"nan","nan","nan","nan","nan","nan",2300.0,"nan",-1.335,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWL 2009","cwwl2009",17.0,9.4,98.86146,12.48526,200.02681,2.13433,0.2294,-0.2093,-0.498,91.3541,1.0,"nan","nan","nan","nan","nan","nan",700.0,"nan",-0.642,"nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWWL 2060","cwwl2060",15.0,10.0,118.43104,-24.89954,241.98509,1.3983,0.2377,-2.2151,2.6088,"nan",0.0,"nan","nan","nan","nan","nan","nan",500.0,"nan",-1.335,"nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWWL 2073","cwwl2073",19.0,4.4,116.95163,-24.70196,241.14866,0.35941,0.2085,-1.5312,1.8401,70.7547,3.0,3.605,0.7283,0.85,0.4101,0.69,"nan",558.0,27.0,-0.17,0.2753,157.0,"nan","nan","nan","nan","CB",0.0,0.22,"n"
"CWWL 2075","cwwl2075",19.0,7.2,116.91187,-24.18272,240.67212,0.60123,0.2264,-1.7018,2.254,105.7787,3.0,"nan","nan","nan","nan","nan","nan",800.0,"nan",0.68,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWL 2083","cwwl2083",40.0,7.9,115.66329,-21.39525,237.69955,0.98363,0.2478,-2.1599,2.8138,78.0693,3.0,"nan","nan","nan","nan","nan","nan",400.0,"nan",0.68,"nan","nan","nan","nan","nan","nan","AC",0.08,0.21,"y"
"CWWL 2084","cwwl2084",28.0,7.8,115.69792,-21.06104,237.40272,1.1911,0.2706,-2.1119,2.8832,102.46795,2.0,2.92,0.2546,0.88,0.2687,1.22,"nan",100.0,53.0,-0.7875,0.7743,218.0,"nan","nan","nan","nan","BC",0.29,0.18,"n"
"CWWL 2091","cwwl2091",48.0,12.3,120.0477,-24.12777,242.13476,3.0442,0.2196,-1.9504,1.7887,71.7061,4.0,"nan","nan","nan","nan","nan","nan",1400.0,"nan",-0.642,"nan","nan","nan","nan","nan","nan","DC",0.0,0.13,"y"
"CWWL 2100","cwwl2100",19.0,6.2,119.92465,-24.69284,242.54534,2.68792,0.2302,-2.2756,2.6936,98.80065,2.0,"nan","nan","nan","nan","nan","nan",400.0,"nan",-0.419,"nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"CWWL 2110","cwwl2110",19.0,10.4,121.01138,-26.09198,244.26501,2.78128,0.2328,-2.5772,2.9303,93.63005,2.0,"nan","nan","nan","nan","nan","nan",600.0,"nan",-0.642,"nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWWL 2130","cwwl2130",18.0,6.3,119.1331,-26.95377,244.08197,0.8985,0.2073,-2.2345,3.0576,44.3627,1.0,"nan","nan","nan","nan","nan","nan",1200.0,"nan",-1.335,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWL 2239","cwwl2239",12.0,9.5,147.83406,-52.33975,277.2999,1.33588,0.2588,-5.0762,3.3895,55.5476,1.0,"nan","nan","nan","nan","nan","nan",1800.0,"nan",-2.721,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWL 2324","cwwl2324",10.0,8.6,171.0972,-59.98586,292.2504,1.08036,0.2189,-6.6106,1.9164,3.2334,2.0,"nan","nan","nan","nan","nan","nan",1200.0,"nan",-0.642,"nan","nan","nan","nan","nan","nan","CB",0.0,0.08,"y"
"CWWL 2457","cwwl2457",50.0,5.0,271.07429,-21.23838,8.76452,0.25377,0.2664,-0.7486,-1.9291,11.39305,4.0,"nan","nan","nan","nan","nan","nan",100.0,"nan",0.68,"nan","nan","nan","nan","nan","nan","AB",0.32,0.22,"n"
"CWWL 2761","cwwl2761",12.0,6.7,344.92024,60.8373,109.75565,0.8622,0.2736,-2.7274,-1.6817,"nan",0.0,"nan","nan","nan","nan","nan","nan",300.0,"nan",0.68,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWL 2942","cwwl2942",18.0,6.9,80.05456,40.16234,167.74786,1.76035,0.2611,0.6628,-1.6692,-7.0702,1.0,"nan","nan","nan","nan","nan","nan",900.0,"nan",-3.925,"nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWWL 2944","cwwl2944",16.0,12.1,78.04157,40.45139,166.60117,0.68541,0.2624,0.5258,-1.5083,-13.2086,3.0,"nan","nan","nan","nan","nan","nan",1000.0,"nan",-2.721,"nan","nan","nan","nan","nan","nan","CC",0.0,0.05,"y"
"CWWL 2971","cwwl2971",29.0,7.8,100.33828,14.02662,199.30694,4.15748,0.2624,-0.1908,-1.0021,51.0631,1.0,"nan","nan","nan","nan","nan","nan",1900.0,"nan",-0.642,"nan","nan","nan","nan","nan","nan","CC",0.0,0.12,"y"
"CWWL 2972","cwwl2972",33.0,11.4,107.72076,-3.07223,217.88322,2.877,0.2563,-0.8775,0.2086,101.7747,3.0,"nan","nan","nan","nan","nan","nan",400.0,"nan",0.68,"nan","nan","nan","nan","nan","nan","CC",0.0,0.12,"y"
