"Name","RA_ICRS","DE_ICRS","GLON","GLAT","pmRA","pmDE","Plx","d_pc","RV","logt","Av","diffAV50","CST","N","r50pc","CMDCl50"
"UFMG_82             ",263.88892023,-33.41102484,355.06511066,-0.5487,-1.63054066,-1.77413116,0.59048918,1550.22017646,-30.39712191,8.0065999,3.1315186,2.0696255,13.08296263,71,3.0,0.959
"UFMG_83             ",268.11001439,-28.18207317,1.41766082,-0.8954,-0.02421794,-2.02280218,0.28742994,3041.43954107,1.9610344,7.7326653,3.2235961,2.72393179,15.24766336,112,3.06,0.787
"UFMG_87             ",263.29866747,-35.13609154,353.35101642,-1.074,-1.00974507,-2.71962499,0.28422129,3117.72230988,41.66240789,7.79212713,4.76198602,2.27439392,6.80522038,43,1.75,0.273
"UFMG_88             ",268.19787079,-29.52604293,0.29927823,-1.645,2.1283084,-1.66972456,0.65080131,1440.73076356,-26.64742816,8.40482712,1.71439445,1.87673759,12.19684001,65,3.13,0.93
"UFMG_89             ",269.27932384,-27.60697013,2.43616414,-1.497,0.30923407,-2.01061187,0.35982856,2486.01421027,41.1077079,7.13537741,4.09620833,2.40696919,9.30621441,37,1.9,0.946
"UFMG_90             ",270.63952046,-25.81611163,4.59479879,-1.662,0.58771177,0.00769584,0.47106579,1999.23664192,-38.70295043,8.1671772,3.86951447,2.75487673,9.27041152,109,2.52,0.063
"UFMG_91             ",264.86627757,-35.08432719,354.08485932,-2.127,0.25102132,-3.69869307,0.30090084,2833.99310036,-44.1470797,8.73279142,3.40561974,1.63698995,12.37625677,72,2.26,0.349
"UFMG_92             ",269.01900822,-29.51069294,0.67361918,-2.254,-0.09555204,-0.4837081,0.3901406,2326.13615608,-1.41164687,7.60851336,2.30938447,2.2030549,15.95475683,102,2.4,0.989
"UFMG_93             ",269.48491475,-29.15342797,1.18663765,-2.427,-0.08880769,-2.60479904,0.32321657,2761.69002138,-17.11803695,8.16751909,2.84080648,2.5572716,12.70604021,67,2.46,0.334
"UFMG_95             ",270.68822392,-29.38407019,1.50580845,-3.453,1.79709296,-1.01742299,0.84528822,1119.26458811,-17.39858075,7.75785112,0.24856377,0.41073965,9.92764123,51,2.56,0.999
"UFMG_96             ",264.42263923,-29.77170532,358.3777451,1.026,-1.39696332,-3.38317387,0.41604302,2187.19941997,-23.06234129,7.98057342,4.27100325,2.33679104,10.8892131,73,3.38,0.184
"UPK_4               ",281.38664455,-23.76637843,10.94497288,-9.371,-2.02814129,-6.40782175,1.26470523,769.33013711,9.35065468,8.19591045,1.23932993,1.54241395,17.51395787,138,4.26,0.999
"UPK_5               ",273.21018942,-18.32609813,12.29840926,-0.1009,0.68228071,-8.44743434,1.76448203,552.37193031,-3.45499634,7.91711283,0.63152531,0.93853551,16.93190467,156,8.69,0.999
"UPK_7               ",276.8011176,-17.34635758,14.77515885,-2.653,-0.34351588,-5.84062539,1.25112417,778.44192996,-6.53681982,8.00861979,1.14060938,1.02459061,12.00652108,62,2.59,0.996
"UPK_12              ",288.87256514,-22.07779372,15.45005588,-14.94,0.60371266,-6.69414407,1.50024578,650.90760042,-0.25483672,8.27921247,0.24682683,0.83948052,13.10016696,109,4.58,0.97
"UPK_13              ",281.99610079,-18.28577898,16.18037209,-7.489,-1.13215689,-4.10226975,1.05723206,913.70107292,5.50046853,8.11924601,0.62565017,0.79341462,17.51507193,126,1.95,1.0
