"UCC_ID","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","N_50","r_50","C3","shared_members","shared_members_perc"
"UCC G289.5+01.3","NGC 3532;Melotte 103;Collinder 238;OCL 839;VDBH 109;vdBergh-Hagen 109;ESO 128 31;MWSC 1890;OCSN 236;FoF 2329",166.417,-58.707,289.553,1.392,2.086,-10.403,5.23,4.857,1093.0,3670.0,29.5,"AA","oc0552","0.7"
"UCC G289.5-04.9","Melotte 102;IC 2602;Collinder 229;OCL 838;VDBH 103;vdBergh-Hagen 103;ESO 093 02;OCSN 205",160.613,-64.426,289.601,-4.914,6.602,-17.804,10.497,16.424,209.0,643.0,103.0,"AA","nan","nan"
"UCC G289.5+03.0","CWNU 4379",167.666,-57.1946,289.604,3.039,0.117,-5.341,1.339,13.084,1.0,12.0,4.0,"CC","nan","nan"
"UCC G289.5-07.2","HSC 2351",157.9024,-66.466,289.337,-7.247,5.318,-36.246,22.03,6.542,10.0,34.0,103.2,"DC","nan","nan"
"UCC G289.5-01.4","UBC 1496",164.14,-61.33,289.594,-1.529,0.246,-6.09,2.212,"nan",0.0,17.0,2.4,"AB","cwwdl5186","28.0"
"UCC G289.6+02.8","CWNU 4613",167.5959,-57.3845,289.621,2.834,0.112,-5.204,1.583,5.828,2.0,8.0,7.1,"BC","cwnu4568","4.0"
"UCC G289.6-02.5","Ruprecht 162",163.208,-62.305,289.636,-2.547,0.166,-6.812,3.046,33.711,2.0,13.0,7.1,"DC","nan","nan"
"UCC G289.6-16.1","MWSC 4138",141.7725,-73.5014,289.643,-16.165,0.209,-3.818,3.195,95.807,1.0,22.0,6.0,"CC","nan","nan"
"UCC G289.6-00.2","ESO 128 27;Sher 1;OCL 837;Miller 2;MWSC 1881",165.262,-60.233,289.624,-0.244,0.108,-5.463,2.389,56.65,2.0,62.0,2.2,"AA","nan","nan"
"UCC G289.6+00.2","CWWDL 9197",165.7282,-59.7474,289.63,0.271,0.375,-6.173,1.492,5.205,2.0,19.0,5.4,"BB","cwnu2487","36.0"
"UCC G289.6+10.7","HSC 2394",172.3159,-49.971,289.167,10.398,8.708,-52.992,3.049,9.941,13.0,25.0,123.5,"DC","nan","nan"
"UCC G289.6+00.2a","CWNU 2487",165.72,-59.7724,289.655,0.259,0.377,-6.163,1.383,"nan",0.0,35.0,5.1,"AB","cwwdl9197","25.7"
"UCC G289.6+00.0a","CWNU 3283",165.5376,-59.9825,289.675,0.037,0.191,-7.137,2.96,-32.64,1.0,19.0,3.0,"AB","hsc2395","60.0"
"UCC G289.6+00.0","HSC 2395",165.5367,-59.9976,289.667,0.04,0.187,-7.163,2.923,"nan",0.0,21.0,3.0,"BB","cwnu3283","60.0"
"UCC G289.6-01.0","CWNU 3854",164.7062,-60.983,289.703,-1.036,0.167,-5.593,2.243,"nan",0.0,13.0,6.3,"BB","majaess133","24.0"
"UCC G289.7-02.3","HSC 2396",163.5778,-62.1322,289.726,-2.304,0.17,-4.975,1.795,"nan",0.0,19.0,1.9,"AA","nan","nan"
"UCC G289.7-01.8","CWNU 2607",164.0489,-61.6789,289.709,-1.804,0.409,-6.648,2.674,-4.418,1.0,29.0,2.7,"CB","nan","nan"
